id,title,url,price,location,latitude,longitude,bedrooms,bathrooms,size_sqft,property_type,advertiser,date_listed,pictures
119738453,Sale Apartment in WAMAI Ground Floor Tulum La Veleta I PG0526,https://www.properstar.co.uk/listing/119738453,"GBP 73,303","Tulum, Wamai 1",20.211419,-87.46535,1,1,452,Condo,Juan,,https://files-api.properstar.com/api/v2/files/11b89de5-fd2d-42b8-a4c4-a9b4eed6c024/1?mode=crop&width=512&height=384&format=jpeg; https://files-api.properstar.com/api/v2/files/e5e0343b-3de8-48f7-81c5-6ce650ea5cc2/1?mode=crop&width=512&height=384&format=jpeg; https://files-api.properstar.com/api/v2/files/543cb6ab-f1bb-4e53-ae75-3202abf3d7cb/1?mode=crop&width=512&height=384&format=jpeg; https://files-api.properstar.com/api/v2/files/3977821f-ef5d-492e-a770-86c665f8b8f3/1?mode=crop&width=512&height=384&format=jpeg; https://files-api.properstar.com/api/v2/files/54a06519-b2e9-40a7-ab46-f5910555b0b4/1?mode=crop&width=512&height=384&format=jpeg
119708009,"Condo for Sale in AYOOK de AREIA, Tulum – Unit 10",https://www.properstar.co.uk/listing/119708009,"GBP 5,589","Region 15, Tulum, Quintana Roo, Region 15",20.181057,-87.470238,1,1,538,Condo,Manuel,,https://files-api.properstar.com/api/v2/files/ed568778-c628-4b2a-a4b6-8fe91b4b610a/1?mode=crop&width=512&height=384&format=jpeg; https://files-api.properstar.com/api/v2/files/a65f8166-e503-4c3f-b417-dce646dd06cd/1?mode=crop&width=512&height=384&format=jpeg; https://files-api.properstar.com/api/v2/files/b896550e-7048-4f92-8a8d-1104c829e50a/1?mode=crop&width=512&height=384&format=jpeg; https://files-api.properstar.com/api/v2/files/1ca50506-e92c-4733-b1b3-3bdc1cbc80bd/1?mode=crop&width=512&height=384&format=jpeg; https://files-api.properstar.com/api/v2/files/fa301396-5f53-4caf-a353-f43c304dce66/1?mode=crop&width=512&height=384&format=jpeg
119674966,"Excellent opportunity two 2 bedroom apartments, ideal for investment",https://www.properstar.co.uk/listing/119674966,"GBP 64,995","Tulum, Quintana Roo, Tulum ",20.211419,-87.46535,2,1,,Condo,Caribbean Properties,,https://files-api.properstar.com/api/v2/files/77dbfe0c-6b19-4ef1-82c3-afa3e2e6a22a/1?mode=crop&width=512&height=384&format=jpeg; https://files-api.properstar.com/api/v2/files/125262a9-31c3-4780-b58b-e8faaa132901/1?mode=crop&width=512&height=384&format=jpeg; https://files-api.properstar.com/api/v2/files/52d8726e-71a2-4a78-848d-e804acbd4dd0/1?mode=crop&width=512&height=384&format=jpeg; https://files-api.properstar.com/api/v2/files/9f18fd18-0d24-4fda-a41c-d329c1e7ea56/1?mode=crop&width=512&height=384&format=jpeg; https://files-api.properstar.com/api/v2/files/dfff8474-e670-433e-a4df-718ae774238a/1?mode=crop&width=512&height=384&format=jpeg
119652027,DK TULUM - 01 BEDROOM - TURN KEY,https://www.properstar.co.uk/listing/119652027,"GBP 76,894","Tulum, C. 15 Pte. Manzana 92 Lote 02, La Veleta, 77760 Tulum, Q.R.",20.194023,-87.467797,1,1,706,Condo,Monica  Martinez,,https://files-api.properstar.com/api/v2/files/4f61b8f1-f891-4a38-b0e7-6b92c2aa570c/1?mode=crop&width=512&height=384&format=jpeg
119652035,Kinn Tulum B-105 - 01 bedroom condo in Tulum,https://www.properstar.co.uk/listing/119652035,"GBP 71,763","Tulum, C. 11 Sur 17, La Veleta, 77760 Tulum, Q.R.",20.200668,-87.472698,1,1,538,Condo,Monica  Martinez,,https://files-api.properstar.com/api/v2/files/4829c07b-3091-4dc2-84ac-4bf9bccd991f/1?mode=crop&width=512&height=384&format=jpeg
119652064,"Beautiful furnished studio ready to rent! $2,000 USD BONUS",https://www.properstar.co.uk/listing/119652064,"GBP 80,161","Tulum, Región 15, SMZ 000, Manzana 98, Lote 002 Calle 15 Poniente, entre Calles 6 y 8 Sur, Tulum Estado de Quintana Roo.",20.194023,-87.467797,1,1,527,Condo,Astrid Fierro,,https://files-api.properstar.com/api/v2/files/00905d77-c05c-4244-8ec3-cb22a16c5820/1?mode=crop&width=512&height=384&format=jpeg
119635297,Invest in New Tulum | Study in Region 10,https://www.properstar.co.uk/listing/119635297,"GBP 50,480","Tulum Centro, Quintana Roo, Tulum, Tulum Centro",20.212553,-87.458399,1,1,410,Condo,Myan Realty,,https://files-api.properstar.com/api/v2/files/ffe36315-5e0f-4843-a63c-392bc8eaf348/1?mode=crop&width=512&height=384&format=jpeg; https://files-api.properstar.com/api/v2/files/b7ff7d01-2587-4229-ac5e-53fd80e689d7/1?mode=crop&width=512&height=384&format=jpeg; https://files-api.properstar.com/api/v2/files/eeee6058-ba7b-402a-97cb-b20ddb5b04c2/1?mode=crop&width=512&height=384&format=jpeg; https://files-api.properstar.com/api/v2/files/c0e75377-586e-4d46-9f78-1b8a3362d97a/1?mode=crop&width=512&height=384&format=jpeg; https://files-api.properstar.com/api/v2/files/d19c87b7-a925-4e98-b994-50418c7ca519/1?mode=crop&width=512&height=384&format=jpeg
119589817,2 Bedroom Apartment for Sale in Aldea Tulum | C4016,https://www.properstar.co.uk/listing/119589817,"GBP 41,163","Tulum, Quintana Roo, Tulum, Tulum",20.211419,-87.46535,2,1,,Condo,Century 21 Caribbean Paradise CANCUN,,https://files-api.properstar.com/api/v2/files/3ef2c3e6-dc85-4769-a52a-99d55083ffe5/1?mode=crop&width=512&height=384&format=jpeg; https://files-api.properstar.com/api/v2/files/118a2269-93e8-4d34-957d-e4da02b18efb/1?mode=crop&width=512&height=384&format=jpeg; https://files-api.properstar.com/api/v2/files/12a4f684-04c9-46b9-8ff6-67342fa4c60f/1?mode=crop&width=512&height=384&format=jpeg; https://files-api.properstar.com/api/v2/files/46429e0c-67df-4a64-b46b-5fccd67b44be/1?mode=crop&width=512&height=384&format=jpeg; https://files-api.properstar.com/api/v2/files/48ee2e66-bd45-4d26-bd32-467dd4f85458/1?mode=crop&width=512&height=384&format=jpeg
119589757,Studio for Sale in Region 15 | Muuk Tulum | READY FOR DELIVERY AND GENERATE REVENUE |  P4102,https://www.properstar.co.uk/listing/119589757,"GBP 62,307","Tulum, Quintana Roo, Tulum, Tulum",20.211419,-87.46535,1,1,,Condo,Century 21 Caribbean Paradise PLAYA DEL CARMEN,,https://files-api.properstar.com/api/v2/files/2a1e4891-e4aa-4833-b3e7-7b31eca1e6db/1?mode=crop&width=512&height=384&format=jpeg; https://files-api.properstar.com/api/v2/files/abcfeafe-fc06-40f3-93db-70eaaef677ca/1?mode=crop&width=512&height=384&format=jpeg; https://files-api.properstar.com/api/v2/files/6c29f538-4da4-4268-8669-05c0c9aebf73/1?mode=crop&width=512&height=384&format=jpeg; https://files-api.properstar.com/api/v2/files/6aed02d9-a7bf-4a96-9d0b-985951fb6371/1?mode=crop&width=512&height=384&format=jpeg; https://files-api.properstar.com/api/v2/files/3b631a8f-37a5-4a6d-ac71-a982d7c173ac/1?mode=crop&width=512&height=384&format=jpeg
119581995,Studio with Jacuzzi for Sale in Tulum,https://www.properstar.co.uk/listing/119581995,"GBP 77,994","La Veleta, Quintana Roo, Tulum, La Veleta",20.202596,-87.472779,1,1,,Condo,Quintana Broker,,https://files-api.properstar.com/api/v2/files/071f64c0-96df-4c46-a22d-8bc2000a7b46/1?mode=crop&width=512&height=384&format=jpeg; https://files-api.properstar.com/api/v2/files/a9f7e1db-7878-4e47-84f4-3415d9dd3536/1?mode=crop&width=512&height=384&format=jpeg; https://files-api.properstar.com/api/v2/files/78b612e0-06f6-4183-b458-43a0c00b8166/1?mode=crop&width=512&height=384&format=jpeg; https://files-api.properstar.com/api/v2/files/cf84801c-31a6-49af-8baa-8d1de4c8cab9/1?mode=crop&width=512&height=384&format=jpeg; https://files-api.properstar.com/api/v2/files/d2b06eda-5031-48ed-98d5-a3201d361782/1?mode=crop&width=512&height=384&format=jpeg
119562250,"Apartment for sale in Tulum Centro, Tulum, Quintana Roo",https://www.properstar.co.uk/listing/119562250,"GBP 37,827","Tulum Centro, Tulum, PERLA, 05",20.212553,-87.458399,2,1,527,Condo,Hunave Certeza Inmobiliaria,,https://files-api.properstar.com/api/v2/files/fbaf52eb-9267-4a13-825f-4783e9ed35f0/1?mode=crop&width=512&height=384&format=jpeg; https://files-api.properstar.com/api/v2/files/adefa2d4-a868-4dd8-9bb2-fa2d517cdbac/1?mode=crop&width=512&height=384&format=jpeg; https://files-api.properstar.com/api/v2/files/e7818650-c445-4705-adf1-ec0e520b3e4c/1?mode=crop&width=512&height=384&format=jpeg; https://files-api.properstar.com/api/v2/files/c614a8bf-5dfd-4df7-8da5-333e4abc7595/1?mode=crop&width=512&height=384&format=jpeg; https://files-api.properstar.com/api/v2/files/cb7b413a-c336-41ec-8740-2e77810dae76/1?mode=crop&width=512&height=384&format=jpeg
119560418,"2 bedroom apartment for Sale in Aldea Tulum, Tulum, Q.R.",https://www.properstar.co.uk/listing/119560418,"GBP 51,996","Tulum, Quintana Roo, Tulum ",20.211419,-87.46535,2,1,527,Condo,The Land Co.,,https://files-api.properstar.com/api/v2/files/113eb457-9f8d-4b6d-bd1a-ba1eabc50638/1?mode=crop&width=512&height=384&format=jpeg; https://files-api.properstar.com/api/v2/files/d384873a-17fd-4127-babc-f56f430e1b77/1?mode=crop&width=512&height=384&format=jpeg; https://files-api.properstar.com/api/v2/files/54a5d0c6-0090-49fe-bc78-f1e4e809e016/1?mode=crop&width=512&height=384&format=jpeg; https://files-api.properstar.com/api/v2/files/ca04d7fa-8eeb-45a8-bc08-78fb2a0ac28e/1?mode=crop&width=512&height=384&format=jpeg; https://files-api.properstar.com/api/v2/files/4644b071-cb29-4273-9e06-c04cadb0e1ed/1?mode=crop&width=512&height=384&format=jpeg
119527756,Your new beginning in Tulum. 1 Bedroom Apartment. Turnkey,https://www.properstar.co.uk/listing/119527756,"GBP 54,511","Tumben Kaa, Quintana Roo, Tulum, Tumben Kaa",20.217549,-87.473709,1,1,588,Condo,Myan Realty,,https://files-api.properstar.com/api/v2/files/f61fff0f-6dde-4860-9ee7-2058a4c6996c/1?mode=crop&width=512&height=384&format=jpeg; https://files-api.properstar.com/api/v2/files/769d5c4e-ad11-41e1-ae40-02c181c2be32/3?mode=crop&width=512&height=384&format=jpeg; https://files-api.properstar.com/api/v2/files/eb2d262d-e64a-402b-acb9-4bcf8ba74dd0/2?mode=crop&width=512&height=384&format=jpeg; https://files-api.properstar.com/api/v2/files/d2c5b44f-5a43-4989-a03e-b0e95456980f/1?mode=crop&width=512&height=384&format=jpeg; https://files-api.properstar.com/api/v2/files/a29d85b0-5fcf-4ee6-9bea-467cc08b9057/3?mode=crop&width=512&height=384&format=jpeg
119476863,"Apartment 2 rec in Tulum, Quintana Roo, $799k We hear offers!!",https://www.properstar.co.uk/listing/119476863,"GBP 34,620","Tulum, Quintana Roo, Tulum ",20.211419,-87.46535,2,1,,Condo,Grupo Torrijos y Asociados,,https://files-api.properstar.com/api/v2/files/15867332-3853-4694-8459-5a6d47de2e5b/1?mode=crop&width=512&height=384&format=jpeg; https://files-api.properstar.com/api/v2/files/3ba775c8-dc06-4da4-a4c6-ccaafc52ca8b/1?mode=crop&width=512&height=384&format=jpeg; https://files-api.properstar.com/api/v2/files/45b0dccb-9cbb-4def-abbd-25c3cb7d285e/1?mode=crop&width=512&height=384&format=jpeg; https://files-api.properstar.com/api/v2/files/25961f3c-b2fb-4bcf-a449-de5dd90ddb8e/1?mode=crop&width=512&height=384&format=jpeg; https://files-api.properstar.com/api/v2/files/4f8b22bc-cb9a-4807-b307-6106c2e9d19e/1?mode=crop&width=512&height=384&format=jpeg
119308115,Apartment for sale with balcony in Tulum,https://www.properstar.co.uk/listing/119308115,"GBP 73,618","Tulum, Quintana Roo, Tulum, Tulum",20.211419,-87.46535,1,1,538,Condo,Azaola Investment Hub,,https://files-api.properstar.com/api/v2/files/9f525a57-a9ea-4813-8492-419b83271277/1?mode=crop&width=512&height=384&format=jpeg; https://files-api.properstar.com/api/v2/files/de699cce-f1d1-4018-a87a-e2e01c860b1f/1?mode=crop&width=512&height=384&format=jpeg; https://files-api.properstar.com/api/v2/files/28dc53af-7fdc-4981-845d-ae096e8ba30a/1?mode=crop&width=512&height=384&format=jpeg; https://files-api.properstar.com/api/v2/files/3584aba5-cef7-4b23-885b-f9339b452619/1?mode=crop&width=512&height=384&format=jpeg; https://files-api.properstar.com/api/v2/files/4f14fe16-e7bf-4ba1-9a10-d718d1a258a9/1?mode=crop&width=512&height=384&format=jpeg
119294725,Apartment in tulum,https://www.properstar.co.uk/listing/119294725,"GBP 65,728","Tulum, Quintana Roo, Tulum, Tulum",20.211419,-87.46535,,1,,Condo,BUSTAMANTE GROUP REAL ESTATE,,https://files-api.properstar.com/api/v2/files/13bcd8af-af71-421f-bde9-07d4a997e757/1?mode=crop&width=512&height=384&format=jpeg; https://files-api.properstar.com/api/v2/files/86d5fd16-2b40-4e91-9b91-2d369633d7be/1?mode=crop&width=512&height=384&format=jpeg; https://files-api.properstar.com/api/v2/files/dbdce61d-bbce-406d-9fa9-939011e6f49f/1?mode=crop&width=512&height=384&format=jpeg; https://files-api.properstar.com/api/v2/files/d1dab96b-7e41-463c-8d8b-e0e0ad80865d/1?mode=crop&width=512&height=384&format=jpeg; https://files-api.properstar.com/api/v2/files/92206264-7e15-474e-a5a2-3871db3b0304/1?mode=crop&width=512&height=384&format=jpeg
119294051,Apartment in tulum,https://www.properstar.co.uk/listing/119294051,"GBP 73,704","Tulum, Quintana Roo, Tulum, Tulum",20.211419,-87.46535,,1,,Condo,BUSTAMANTE GROUP REAL ESTATE,,https://files-api.properstar.com/api/v2/files/89256a5e-790e-4e43-b083-986344c00916/1?mode=crop&width=512&height=384&format=jpeg; https://files-api.properstar.com/api/v2/files/2bf443a0-d478-4ad5-a755-e90bf3697933/1?mode=crop&width=512&height=384&format=jpeg; https://files-api.properstar.com/api/v2/files/3bcc30e0-9832-4958-add8-f15a062248de/1?mode=crop&width=512&height=384&format=jpeg; https://files-api.properstar.com/api/v2/files/48b66c09-4233-46ea-86e2-ea9c13f09110/1?mode=crop&width=512&height=384&format=jpeg; https://files-api.properstar.com/api/v2/files/fd534fc5-556d-428d-94b9-cab729186abd/1?mode=crop&width=512&height=384&format=jpeg
119293325,Studio For Sale La Veleta Tulum,https://www.properstar.co.uk/listing/119293325,"GBP 75,828","La Veleta, Quintana Roo, Tulum, La Veleta",20.202596,-87.472779,1,1,,Condo,BUSTAMANTE GROUP REAL ESTATE,,https://files-api.properstar.com/api/v2/files/b56547d8-11ca-4fa9-a189-0f44915b0c61/2?mode=crop&width=512&height=384&format=jpeg; https://files-api.properstar.com/api/v2/files/aac7cd7d-43c7-4884-86ae-309e7af0cbeb/2?mode=crop&width=512&height=384&format=jpeg; https://files-api.properstar.com/api/v2/files/e5cac3b5-e4d4-4733-8a54-a8fd7d0979b9/2?mode=crop&width=512&height=384&format=jpeg; https://files-api.properstar.com/api/v2/files/871aaaf7-acd8-4ece-b024-3b6e200dfb03/2?mode=crop&width=512&height=384&format=jpeg; https://files-api.properstar.com/api/v2/files/4b93ad57-c71a-4b4b-af81-184bb96692c0/2?mode=crop&width=512&height=384&format=jpeg
119293327,La Veleta Tulum Studio for Sale,https://www.properstar.co.uk/listing/119293327,"GBP 69,328","La Veleta, Quintana Roo, Tulum, La Veleta",20.202596,-87.472779,1,1,,Condo,BUSTAMANTE GROUP REAL ESTATE,,https://files-api.properstar.com/api/v2/files/c338e53a-c2ac-4477-937b-75776a9dd765/2?mode=crop&width=512&height=384&format=jpeg; https://files-api.properstar.com/api/v2/files/0fc83794-9f16-4d0b-8699-29c7acca67dd/2?mode=crop&width=512&height=384&format=jpeg; https://files-api.properstar.com/api/v2/files/2bff3a07-7250-429c-83d4-59b926b20ba5/2?mode=crop&width=512&height=384&format=jpeg; https://files-api.properstar.com/api/v2/files/f463a7b4-893b-49d9-a68f-9ea8ec9a2c37/2?mode=crop&width=512&height=384&format=jpeg; https://files-api.properstar.com/api/v2/files/ebbcff64-4ad6-44b3-8f90-e64472990248/2?mode=crop&width=512&height=384&format=jpeg
119293324,La Veleta Tulum studio for sale,https://www.properstar.co.uk/listing/119293324,"GBP 82,327","La Veleta, Quintana Roo, Tulum, La Veleta",20.202596,-87.472779,1,1,,Condo,BUSTAMANTE GROUP REAL ESTATE,,https://files-api.properstar.com/api/v2/files/f17977ea-48bf-491c-94f4-ebbf061de61a/2?mode=crop&width=512&height=384&format=jpeg; https://files-api.properstar.com/api/v2/files/bafda6dd-02eb-48c4-b31a-5f4886f4109a/2?mode=crop&width=512&height=384&format=jpeg; https://files-api.properstar.com/api/v2/files/80794d68-15b6-4639-a3ae-d0de369e7acb/2?mode=crop&width=512&height=384&format=jpeg; https://files-api.properstar.com/api/v2/files/b6714441-e3d6-427f-ac09-c0eaa4afa183/2?mode=crop&width=512&height=384&format=jpeg; https://files-api.properstar.com/api/v2/files/aa96a9ec-c377-4922-9c56-c32dd64d3c88/2?mode=crop&width=512&height=384&format=jpeg
119223989,"Apartment for sale in La Veleta, Tulum, Quintana Roo",https://www.properstar.co.uk/listing/119223989,"GBP 80,161","La Veleta, Tulum, La Veleta",20.202596,-87.472779,1,1,344,Condo,Fernanda Garrido,,https://files-api.properstar.com/api/v2/files/e9573414-2c33-4800-97bf-91cb5cf61444/1?mode=crop&width=512&height=384&format=jpeg; https://files-api.properstar.com/api/v2/files/e5e29a20-98f7-485d-a73a-60ca14bd308c/1?mode=crop&width=512&height=384&format=jpeg; https://files-api.properstar.com/api/v2/files/a1815573-d9c2-44df-8747-e1586769b49b/1?mode=crop&width=512&height=384&format=jpeg; https://files-api.properstar.com/api/v2/files/6fde6d9f-fbe1-4e3c-9398-ebbbcbf86d5c/1?mode=crop&width=512&height=384&format=jpeg; https://files-api.properstar.com/api/v2/files/0aebd16d-942e-495d-bd00-d912f917fffd/1?mode=crop&width=512&height=384&format=jpeg
119223985,"Apartment for sale in La Veleta, Tulum, Quintana Roo",https://www.properstar.co.uk/listing/119223985,"GBP 71,495","La Veleta, Tulum, La Veleta",20.202596,-87.472779,1,1,344,Condo,Fernanda Garrido,,https://files-api.properstar.com/api/v2/files/507dcb08-f7b5-4a47-8a9c-85e30f7f4ea3/1?mode=crop&width=512&height=384&format=jpeg; https://files-api.properstar.com/api/v2/files/58351acb-2989-412e-b676-ceb63bd6a1fa/1?mode=crop&width=512&height=384&format=jpeg; https://files-api.properstar.com/api/v2/files/5dd3d7d3-6762-438c-8ad5-65a6e8181e97/1?mode=crop&width=512&height=384&format=jpeg; https://files-api.properstar.com/api/v2/files/5cbb645f-1053-403a-a4fa-f15aec7a425f/1?mode=crop&width=512&height=384&format=jpeg; https://files-api.properstar.com/api/v2/files/5dbe521a-736c-4dcf-9494-f898c5d4717e/1?mode=crop&width=512&height=384&format=jpeg
119189729,"Apartment for sale in La Veleta, Tulum, Quintana Roo",https://www.properstar.co.uk/listing/119189729,"GBP 86,227","La Veleta, Tulum",20.211419,-87.46535,1,1,570,Condo,Mario San Miguel,,https://files-api.properstar.com/api/v2/files/0ec9e294-0d26-422e-bf54-0aa12f2f6f3b/1?mode=crop&width=512&height=384&format=jpeg; https://files-api.properstar.com/api/v2/files/ff671331-e991-4dd8-a0f9-4744510dba67/1?mode=crop&width=512&height=384&format=jpeg; https://files-api.properstar.com/api/v2/files/341f9048-bed0-4127-b152-2c70edff92b8/1?mode=crop&width=512&height=384&format=jpeg; https://files-api.properstar.com/api/v2/files/c3c83a2b-0e0f-4d12-abf7-0d7fa4934e96/1?mode=crop&width=512&height=384&format=jpeg; https://files-api.properstar.com/api/v2/files/ce7968b2-d9a9-47f4-ae4d-2c2a8e206797/1?mode=crop&width=512&height=384&format=jpeg
119155455,"Apartment for sale in Tulum Centro, Tulum, Quintana Roo",https://www.properstar.co.uk/listing/119155455,"GBP 80,828","Tulum Centro, Tulum",20.212553,-87.458399,1,1,354,Condo,Fernando Mendieta /Asesor Inmobiliario,,https://files-api.properstar.com/api/v2/files/93ab5de1-8861-4a8a-abbb-e4b29b15a52f/1?mode=crop&width=512&height=384&format=jpeg; https://files-api.properstar.com/api/v2/files/431d611f-f660-4113-992d-077fd25cbf44/1?mode=crop&width=512&height=384&format=jpeg; https://files-api.properstar.com/api/v2/files/2fead4dd-ce1e-430e-9d06-44f1abc5f515/1?mode=crop&width=512&height=384&format=jpeg; https://files-api.properstar.com/api/v2/files/e4b626f7-61eb-4053-972b-a2e5851ce08c/1?mode=crop&width=512&height=384&format=jpeg; https://files-api.properstar.com/api/v2/files/f89bb810-e8fc-4e3e-a7f7-f671b0ce4db7/1?mode=crop&width=512&height=384&format=jpeg
119063415,"1 BEDROOM APARTMENT IN TULUM, SHOPPING CENTER, POOL, ROI",https://www.properstar.co.uk/listing/119063415,"GBP 61,438","Tulum, Quintana Roo, Tulum ",20.211419,-87.46535,1,1,,Condo,HIGHLINE MEXICO,,https://files-api.properstar.com/api/v2/files/263fc505-e34e-48d5-9ae1-1d7224d06da8/1?mode=crop&width=512&height=384&format=jpeg; https://files-api.properstar.com/api/v2/files/1ac16aa9-4ec2-4f1a-b3c9-6c1c2ed2e787/1?mode=crop&width=512&height=384&format=jpeg; https://files-api.properstar.com/api/v2/files/1c82a037-5946-4e68-bfa9-f5f533693be2/1?mode=crop&width=512&height=384&format=jpeg; https://files-api.properstar.com/api/v2/files/780aec2e-768b-44ac-bcaf-a14a43fd70ff/1?mode=crop&width=512&height=384&format=jpeg; https://files-api.properstar.com/api/v2/files/6c71ae95-d6a0-406f-9f2c-3999fa5f005c/1?mode=crop&width=512&height=384&format=jpeg
119002276,Stunning Pre-sale Condos in the Heart of Tulum,https://www.properstar.co.uk/listing/119002276,"GBP 86,106",region 8,20.209431,-87.467892,,1,355,Condo,Deanna Strong,,https://files-api.properstar.com/api/v2/files/40536c4c-7615-4f09-9128-2fe9bb9367a5/2?mode=crop&width=512&height=384&format=jpeg; https://files-api.properstar.com/api/v2/files/11c5b566-dadd-4924-b0a7-bac476e1b13c/2?mode=crop&width=512&height=384&format=jpeg; https://files-api.properstar.com/api/v2/files/22f8de63-f022-43ec-81c1-07042c3d0fde/2?mode=crop&width=512&height=384&format=jpeg; https://files-api.properstar.com/api/v2/files/fcccba42-18ba-4934-a38d-4b91ee6f3938/2?mode=crop&width=512&height=384&format=jpeg; https://files-api.properstar.com/api/v2/files/fef0c947-962f-437f-ac33-bdc474e2026a/2?mode=crop&width=512&height=384&format=jpeg
119002451,Exclusive Boutique 1-Bedroom Condo for Sale in Tulum,https://www.properstar.co.uk/listing/119002451,"GBP 84,298","Tulum, Tulum, Quintana Roo, Mexico",20.211419,-87.46535,1,1,,Condo,Deanna Strong,,https://files-api.properstar.com/api/v2/files/122fa307-c545-44f0-a889-0ac093c70ebf/2?mode=crop&width=512&height=384&format=jpeg; https://files-api.properstar.com/api/v2/files/b71142e1-0a1c-457f-9449-2b0bf37e5e2a/2?mode=crop&width=512&height=384&format=jpeg; https://files-api.properstar.com/api/v2/files/48a0ee5e-2f7b-454b-b5f8-58f9e0ebd56b/2?mode=crop&width=512&height=384&format=jpeg; https://files-api.properstar.com/api/v2/files/8cb9ab04-ef07-450f-a1dd-c6ac43bdb5b4/2?mode=crop&width=512&height=384&format=jpeg; https://files-api.properstar.com/api/v2/files/41e8fbeb-4f2d-431d-aff5-3985ca047263/2?mode=crop&width=512&height=384&format=jpeg
118999821,"APARTMENT IN TULUM, 1 BEDROOM, POOL, PLUSVALIA, FOR SALE",https://www.properstar.co.uk/listing/118999821,"GBP 62,828","Tulum, Quintana Roo, Tulum, Tulum",20.211419,-87.46535,1,1,,Condo,HIGHLINE MEXICO,,https://files-api.properstar.com/api/v2/files/a0b4f1e8-2e56-40ae-88a8-6f1c2a6a8be7/1?mode=crop&width=512&height=384&format=jpeg; https://files-api.properstar.com/api/v2/files/cb71a3c0-d6f9-41c2-ba15-e2439bf30870/1?mode=crop&width=512&height=384&format=jpeg; https://files-api.properstar.com/api/v2/files/d6f5c943-cc7f-4dea-b995-bb83db6adc6e/1?mode=crop&width=512&height=384&format=jpeg; https://files-api.properstar.com/api/v2/files/1a5a567e-c2a4-4296-9278-42eaeb2608e2/1?mode=crop&width=512&height=384&format=jpeg; https://files-api.properstar.com/api/v2/files/b9e3e901-3e3b-4592-b485-519c423b16b6/1?mode=crop&width=512&height=384&format=jpeg
118875787,Apartment in Tulum Centro,https://www.properstar.co.uk/listing/118875787,"GBP 62,307","Tulum Centro, Quintana Roo, Tulum, Tulum Centro",20.212553,-87.458399,1,1,433,Condo,Tulum Realtors SA de CV,,https://files-api.properstar.com/api/v2/files/0d680c83-3e96-4a22-b5f8-bd09b0ae40a3/1?mode=crop&width=512&height=384&format=jpeg; https://files-api.properstar.com/api/v2/files/ce312584-7f0b-4b95-8fd5-ccdd3d07fa07/1?mode=crop&width=512&height=384&format=jpeg; https://files-api.properstar.com/api/v2/files/d9fb0f5c-54e3-4e90-9379-3e2cec8f4070/1?mode=crop&width=512&height=384&format=jpeg; https://files-api.properstar.com/api/v2/files/ac6869e3-d2d8-44d1-bfe8-17a19ec7cf29/1?mode=crop&width=512&height=384&format=jpeg; https://files-api.properstar.com/api/v2/files/f45fdb29-56ae-4dad-b2e3-cb5cf01c3fc1/1?mode=crop&width=512&height=384&format=jpeg
118740184,Furnished Studio for Sale in La Veleta Tulum,https://www.properstar.co.uk/listing/118740184,"GBP 55,462","Quintana Roo, 14 Sur Mz. 8 Región 15. Tulum, Quintana Roo, SN",20.198262,-87.471065,1,1,365,Condo,NEXIMO,,https://files-api.properstar.com/api/v2/files/9518e541-0d57-41ae-ace0-47ddf6c5f80f/1?mode=crop&width=512&height=384&format=jpeg; https://files-api.properstar.com/api/v2/files/bee3b91c-9271-465a-b34d-0c75b5b106ef/1?mode=crop&width=512&height=384&format=jpeg; https://files-api.properstar.com/api/v2/files/f2c44f75-5b7f-49a4-9b0a-318b91998bb1/1?mode=crop&width=512&height=384&format=jpeg; https://files-api.properstar.com/api/v2/files/1cfe318e-676c-4d23-b635-3cb7f946378d/1?mode=crop&width=512&height=384&format=jpeg; https://files-api.properstar.com/api/v2/files/31cb2da0-5a8b-44dc-8f6d-0da13dd77d9c/1?mode=crop&width=512&height=384&format=jpeg
118702594,Swim-Up Studio with Private Terrace – Xamira II La Veleta Tulum,https://www.properstar.co.uk/listing/118702594,"GBP 79,900","Tulum, Av. Fundadores de Tulum 1",20.195433,-87.476544,1,1,613,Condo,Tonya,,https://files-api.properstar.com/api/v2/files/ca27ac61-26ae-466f-b167-f9a4a6b794ca/1?mode=crop&width=512&height=384&format=jpeg; https://files-api.properstar.com/api/v2/files/03d1a547-4ccb-4c33-a3ef-a42930346d45/1?mode=crop&width=512&height=384&format=jpeg; https://files-api.properstar.com/api/v2/files/354424d3-0e60-4870-a61b-5f1e9fb4cf76/1?mode=crop&width=512&height=384&format=jpeg; https://files-api.properstar.com/api/v2/files/3556c56e-14d7-4469-a6c8-f0484a25a061/1?mode=crop&width=512&height=384&format=jpeg; https://files-api.properstar.com/api/v2/files/01c0bf7a-dc14-43b8-8abf-3111e453f6d7/1?mode=crop&width=512&height=384&format=jpeg
