Broker,Broker URL,Platform,Listing URL,Listing Name,Property Type,Price,Currency,Bedrooms,Bathrooms,Size,Size Unit,Description,Images,Country,State,City,Latitude,Longitude,Sale or Rent
CENTURY 21 ARALBE,https://www.century21mexico.com,Century 21 Mexico (native API),https://www.century21mexico.com/propiedad/628829_pent-house-en-venta,PENT-HOUSE EN VENTA,Penthouse,2300000,MXN,1,1,63,m2,,https://cdn.21online.lat/mexico/cache/awsTest1/rc/TiJwrUVG/uploads/287/propiedades/628829/6a835952ccb52.jpg; https://cdn.21online.lat/mexico/cache/awsTest1/rc/cr2xSf50/uploads/287/propiedades/628829/6a835950baa9e.jpg; https://cdn.21online.lat/mexico/cache/awsTest1/rc/akNLzC8t/uploads/287/propiedades/628829/6a83595b11e49.jpg; https://cdn.21online.lat/mexico/cache/awsTest1/rc/54WReLup/uploads/287/propiedades/628829/6a835958b952d.jpg; https://cdn.21online.lat/mexico/cache/awsTest1/rc/7OtAI5pu/uploads/287/propiedades/628829/6a8359644af55.jpg; https://cdn.21online.lat/mexico/cache/awsTest1/rc/QeLheTUJ/uploads/287/propiedades/628829/6a8359630381c.jpg; https://cdn.21online.lat/mexico/cache/awsTest1/rc/lFXDqktR/uploads/287/propiedades/628829/6a83595dabc14.jpg; https://cdn.21online.lat/mexico/cache/awsTest1/rc/BIhyTZzh/uploads/287/propiedades/628829/6a835960238a1.jpg,México,Ciudad De México,Cuauhtémoc,19.403748,-99.13569989999999,Sale
CENTURY 21 Félix & Asociados,https://www.century21mexico.com,Century 21 Mexico (native API),https://www.century21mexico.com/propiedad/628759_casa-en-venta-colonia-plutarco-elias-calles-miguel-hidalgo-ciudad-de-mexico,"Casa en Venta, Colonia Plutarco Elías Calles, Miguel Hidalgo, Ciudad De México",Casa,6200000,MXN,4,2,225,m2,,https://cdn.21online.lat/mexico/cache/awsTest1/rc/M1eLH66Z/uploads/207/propiedades/628759/6a80ba41ec8cf.jpg; https://cdn.21online.lat/mexico/cache/awsTest1/rc/9dERElKi/uploads/207/propiedades/628759/6a80ba3511efe.jpg; https://cdn.21online.lat/mexico/cache/awsTest1/rc/fMyBydGm/uploads/207/propiedades/628759/6a80ba3793188.jpg; https://cdn.21online.lat/mexico/cache/awsTest1/rc/ml2ophk6/uploads/207/propiedades/628759/6a80ba3361b09.jpg; https://cdn.21online.lat/mexico/cache/awsTest1/rc/EbbzDHNt/uploads/207/propiedades/628759/6a80ba49c16fa.jpg; https://cdn.21online.lat/mexico/cache/awsTest1/rc/iKhT9HPI/uploads/207/propiedades/628759/6a80ba43d2575.jpg; https://cdn.21online.lat/mexico/cache/awsTest1/rc/sgJZNGfT/uploads/207/propiedades/628759/6a80ba4ab9070.jpg; https://cdn.21online.lat/mexico/cache/awsTest1/rc/syHm0S2z/uploads/207/propiedades/628759/6a80ba3e37d57.jpg,México,Ciudad De México,Miguel Hidalgo,19.4564088128743,-99.170254628207,Sale
CENTURY 21 Massada,https://www.century21mexico.com,Century 21 Mexico (native API),https://www.century21mexico.com/propiedad/619688_venta-casa-de-diseno-contemporaneo-en-coapa,VENTA CASA DE DISEÑO CONTEMPORÁNEO EN COAPA,Casa_En_Condominio,10190000,MXN,5,3,307,m2,,https://cdn.21online.lat/mexico/cache/awsTest1/rc/kAqvwuHR/uploads/456/propiedades/619688/6a2703cccfa2f.jpg; https://cdn.21online.lat/mexico/cache/awsTest1/rc/R0qNmOTc/uploads/456/propiedades/619688/6a2700c50de5c.jpg; https://cdn.21online.lat/mexico/cache/awsTest1/rc/AZWT3NL5/uploads/456/propiedades/619688/6a27014548397.jpg; https://cdn.21online.lat/mexico/cache/awsTest1/rc/jvWOAJA2/uploads/456/propiedades/619688/6a27010cc451b.jpg; https://cdn.21online.lat/mexico/cache/awsTest1/rc/6hhhGPh5/uploads/456/propiedades/619688/6a270192edbe1.jpg; https://cdn.21online.lat/mexico/cache/awsTest1/rc/O3Q1hkAm/uploads/456/propiedades/619688/6a2702105dba5.jpg; https://cdn.21online.lat/mexico/cache/awsTest1/rc/n0QVzH5b/uploads/456/propiedades/619688/6a27023a1c8fe.jpg; https://cdn.21online.lat/mexico/cache/awsTest1/rc/EFDeM5kM/uploads/456/propiedades/619688/6a27029d5084d.jpg,México,Ciudad De México,Coyoacán,19.3052718,-99.1214031,Sale
CENTURY 21 Huaren,https://www.century21mexico.com,Century 21 Mexico (native API),https://www.century21mexico.com/propiedad/627921_departamento-en-venta-en-residencial-privalta-iztacalco,DEPARTAMENTO EN VENTA EN RESIDENCIAL PRIVALTA | IZTACALCO,Departamento,2600000,MXN,2,2,64.49,m2,,https://cdn.21online.lat/mexico/cache/awsTest1/rc/RYwt7685/uploads/383/propiedades/627921/6a8344548402e.jpg; https://cdn.21online.lat/mexico/cache/awsTest1/rc/GagMQ089/uploads/383/propiedades/627921/6a8344558416e.jpg; https://cdn.21online.lat/mexico/cache/awsTest1/rc/xiI3A5qO/uploads/383/propiedades/627921/6a8344573eeaf.jpg; https://cdn.21online.lat/mexico/cache/awsTest1/rc/1kRaps20/uploads/383/propiedades/627921/6a834459db7a5.jpg; https://cdn.21online.lat/mexico/cache/awsTest1/rc/Zbuql9lp/uploads/383/propiedades/627921/6a83445b9e499.jpg; https://cdn.21online.lat/mexico/cache/awsTest1/rc/bYt3UAVu/uploads/383/propiedades/627921/6a83445d49342.jpg; https://cdn.21online.lat/mexico/cache/awsTest1/rc/dnI6JSAj/uploads/383/propiedades/627921/6a83445ecae98.jpg; https://cdn.21online.lat/mexico/cache/awsTest1/rc/XUowLeBb/uploads/383/propiedades/627921/6a8344608d99f.jpg,México,Ciudad De México,Iztacalco,19.4016681,-99.1133667,Sale
CENTURY 21 Garantía,https://www.century21mexico.com,Century 21 Mexico (native API),https://www.century21mexico.com/propiedad/628576_departamento-en-venta-en-unid-belen-santa-fe-infonavit-alvaro-obregon-cdmx,"Departamento en venta en Unid. Belén Santa Fe Infonavit, Alvaro Obregón, CDMX",Departamento,1845000,MXN,2,1,59,m2,,https://cdn.21online.lat/mexico/cache/awsTest1/rc/VVMAEoTk/uploads/259/propiedades/628576/6a7e3cf255af3.jpg; https://cdn.21online.lat/mexico/cache/awsTest1/rc/cLn7nu5x/uploads/259/propiedades/628576/6a7e3d0635361.jpg; https://cdn.21online.lat/mexico/cache/awsTest1/rc/HznjwBhQ/uploads/259/propiedades/628576/6a7e3cf1887b2.jpg; https://cdn.21online.lat/mexico/cache/awsTest1/rc/6i9r7Pl7/uploads/259/propiedades/628576/6a7e3cf4521c9.jpg; https://cdn.21online.lat/mexico/cache/awsTest1/rc/4nFdFOYp/uploads/259/propiedades/628576/6a7e3cf383f71.jpg; https://cdn.21online.lat/mexico/cache/awsTest1/rc/Olkl7bXT/uploads/259/propiedades/628576/6a7e3cf6f1f92.jpg; https://cdn.21online.lat/mexico/cache/awsTest1/rc/qitw2hrU/uploads/259/propiedades/628576/6a7e3cfd25852.jpg; https://cdn.21online.lat/mexico/cache/awsTest1/rc/gcC2wv6e/uploads/259/propiedades/628576/6a7e3d0478328.jpg,México,Ciudad De México,Alvaro Obregón,19.386182877663728,-99.22164808493767,Sale
CENTURY 21 Kuali,https://www.century21mexico.com,Century 21 Mexico (native API),https://www.century21mexico.com/propiedad/624283_casa-en-venta-en-bosques-de-tetlameya-coyoacan-cdmx,"CASA EN VENTA EN BOSQUES DE TETLAMEYA, COYOACÁN, CDMX",Casa,11400000,MXN,3,4,297,m2,,https://cdn.21online.lat/mexico/cache/awsTest1/rc/Yf9Go8XG/uploads/398/propiedades/624283/6a7f5b4ae902a.jpg; https://cdn.21online.lat/mexico/cache/awsTest1/rc/oUs6Eexk/uploads/398/propiedades/624283/6a7f5b5f6b4f7.jpg; https://cdn.21online.lat/mexico/cache/awsTest1/rc/F04n49t5/uploads/398/propiedades/624283/6a7f5b5e4cb23.jpg; https://cdn.21online.lat/mexico/cache/awsTest1/rc/qERjeqcV/uploads/398/propiedades/624283/6a7f5b5d58177.jpg; https://cdn.21online.lat/mexico/cache/awsTest1/rc/GcrBaVI5/uploads/398/propiedades/624283/6a7f5b553153f.jpg; https://cdn.21online.lat/mexico/cache/awsTest1/rc/1P4J8Vpq/uploads/398/propiedades/624283/6a7f5b56d3e34.jpg; https://cdn.21online.lat/mexico/cache/awsTest1/rc/sQ7tfoXq/uploads/398/propiedades/624283/6a7f5b4f63b92.jpg; https://cdn.21online.lat/mexico/cache/awsTest1/rc/dGB9lAYu/uploads/398/propiedades/624283/6a7f5b50b7a13.jpg,México,Ciudad De México,Coyoacán,19.2987904,-99.1550273,Sale
CENTURY 21 Herrera & Asociados,https://www.century21mexico.com,Century 21 Mexico (native API),https://www.century21mexico.com/propiedad/628776_departamento-en-venta-en-agricola-oriental-2-recamaras-vigilancia-24-hrs,Departamento en Venta en Agrícola Oriental | 2 Recámaras | Vigilancia 24 Hrs.,Departamento,1750000,MXN,2,1,43.82,m2,,https://cdn.21online.lat/mexico/cache/awsTest1/rc/VJMq9zBc/uploads/289/propiedades/628776/6a820f5f7e546.jpg; https://cdn.21online.lat/mexico/cache/awsTest1/rc/y3CEx1IF/uploads/289/propiedades/628776/6a821052e1858.jpg; https://cdn.21online.lat/mexico/cache/awsTest1/rc/OnvhEv2E/uploads/289/propiedades/628776/6a820f6d0ab23.jpg; https://cdn.21online.lat/mexico/cache/awsTest1/rc/lv5Fdcv8/uploads/289/propiedades/628776/6a820f4b74dec.jpg; https://cdn.21online.lat/mexico/cache/awsTest1/rc/h3dvBoQW/uploads/289/propiedades/628776/6a820f4cc2c71.jpg; https://cdn.21online.lat/mexico/cache/awsTest1/rc/3MIaccIo/uploads/289/propiedades/628776/6a820f4acbeb9.jpg; https://cdn.21online.lat/mexico/cache/awsTest1/rc/oxwaGpKW/uploads/289/propiedades/628776/6a820fad5d1b7.jpg; https://cdn.21online.lat/mexico/cache/awsTest1/rc/6zeWzOZA/uploads/289/propiedades/628776/6a820fae09f3e.jpg,México,Ciudad De México,Iztacalco,19.4046848,-99.07745489999999,Sale
CENTURY 21 ABA,https://www.century21mexico.com,Century 21 Mexico (native API),https://www.century21mexico.com/propiedad/628710_departamento-en-venta-en-col-santa-rosa-gustavo-a-madero-cdmx,"Departamento en Venta en Col. Santa Rosa, Gustavo A. Madero, CDMX.",Departamento,1650000,MXN,2,1,62,m2,,https://cdn.21online.lat/mexico/cache/awsTest1/rc/qNFYBod1/uploads/299/propiedades/628710/6a7f912ea411e.jpg; https://cdn.21online.lat/mexico/cache/awsTest1/rc/g7LyJ0F7/uploads/299/propiedades/628710/6a7f912f7a7dd.jpg; https://cdn.21online.lat/mexico/cache/awsTest1/rc/t5xN1eL0/uploads/299/propiedades/628710/6a7f913078fde.jpg; https://cdn.21online.lat/mexico/cache/awsTest1/rc/Eba8UqDy/uploads/299/propiedades/628710/6a7f9135e803b.jpg; https://cdn.21online.lat/mexico/cache/awsTest1/rc/rNUnPhRa/uploads/299/propiedades/628710/6a7f9134e833f.jpg; https://cdn.21online.lat/mexico/cache/awsTest1/rc/QlpS1JY1/uploads/299/propiedades/628710/6a7f91381f5ba.jpg; https://cdn.21online.lat/mexico/cache/awsTest1/rc/dnQE2CpQ/uploads/299/propiedades/628710/6a8341c2da865.jpg; https://cdn.21online.lat/mexico/cache/awsTest1/rc/X5DDSggP/uploads/299/propiedades/628710/6a7f913193543.jpg,México,Ciudad De México,Gustavo A. Madero,19.5291147,-99.1705635,Sale
CENTURY 21 Modelo,https://www.century21mexico.com,Century 21 Mexico (native API),https://www.century21mexico.com/propiedad/628674_se-vende-espacio-para-oficinas-y-fabricacion,SE VENDE ESPACIO PARA OFICINAS Y FABRICACIÓN,Fabrica,4670000,MXN,0,,252,m2,,https://cdn.21online.lat/mexico/cache/awsTest1/rc/CoycLpSZ/uploads/614/propiedades/628674/6a7f78d487cf3.jpg; https://cdn.21online.lat/mexico/cache/awsTest1/rc/zUXb74xk/uploads/614/propiedades/628674/6a7f78d3c973f.jpg; https://cdn.21online.lat/mexico/cache/awsTest1/rc/FeE5qiSr/uploads/614/propiedades/628674/6a7f78ef22c14.jpg; https://cdn.21online.lat/mexico/cache/awsTest1/rc/ViWP4sz4/uploads/614/propiedades/628674/6a7f78f1cf469.jpg; https://cdn.21online.lat/mexico/cache/awsTest1/rc/YFjONkLx/uploads/614/propiedades/628674/6a7f78fc80d10.jpg; https://cdn.21online.lat/mexico/cache/awsTest1/rc/CrXAbXGP/uploads/614/propiedades/628674/6a7f78f9eaf87.jpg; https://cdn.21online.lat/mexico/cache/awsTest1/rc/BdhIRFEX/uploads/614/propiedades/628674/6a7f78eda405f.jpg; https://cdn.21online.lat/mexico/cache/awsTest1/rc/GdsX1oAE/uploads/614/propiedades/628674/6a7f78ee70438.jpg,México,Ciudad De México,Iztapalapa,19.3619648,-99.11031159999999,Sale
CENTURY 21 Promozur + Angel,https://www.century21mexico.com,Century 21 Mexico (native API),https://www.century21mexico.com/propiedad/628645_casa-en-venta-en-playa-tecolutla-militar-marte,"Casa en Venta en Playa Tecolutla, Militar Marte",Casa,9750000,MXN,6,4,480,m2,,https://cdn.21online.lat/mexico/cache/awsTest1/rc/5xctltXX/uploads/511/propiedades/628645/6a80b519a169f.jpg; https://cdn.21online.lat/mexico/cache/awsTest1/rc/GQh3MD5N/uploads/511/propiedades/628645/6a80b15223924.jpg; https://cdn.21online.lat/mexico/cache/awsTest1/rc/ArWYy46W/uploads/511/propiedades/628645/6a80b15417a78.jpg; https://cdn.21online.lat/mexico/cache/awsTest1/rc/JwjoOgfF/uploads/511/propiedades/628645/6a80b1550072c.jpg; https://cdn.21online.lat/mexico/cache/awsTest1/rc/gCuwxk4x/uploads/511/propiedades/628645/6a80b157a91c2.jpg; https://cdn.21online.lat/mexico/cache/awsTest1/rc/KvSDmVzy/uploads/511/propiedades/628645/6a80b17348f8f.jpg; https://cdn.21online.lat/mexico/cache/awsTest1/rc/VjHSMfFi/uploads/511/propiedades/628645/6a80b158af222.jpg; https://cdn.21online.lat/mexico/cache/awsTest1/rc/J93iIgvQ/uploads/511/propiedades/628645/6a80b155d4763.jpg,México,Ciudad De México,Iztacalco,19.3817088,-99.1259001,Sale
CENTURY 21 Imagina,https://www.century21mexico.com,Century 21 Mexico (native API),https://www.century21mexico.com/propiedad/628503_departamento-en-venta-col-guerrero-cuauhtemoc,"Departamento en Venta – Col. Guerrero, Cuauhtémoc",Departamento,2900000,MXN,3,1,81.6,m2,,https://cdn.21online.lat/mexico/cache/awsTest1/rc/EtRLutuK/uploads/292/propiedades/628503/6a8363c423bf2.jpg; https://cdn.21online.lat/mexico/cache/awsTest1/rc/WceijNaL/uploads/292/propiedades/628503/6a7fa5bc76f59.jpg; https://cdn.21online.lat/mexico/cache/awsTest1/rc/f32crWmT/uploads/292/propiedades/628503/6a7fa5d476b42.jpg; https://cdn.21online.lat/mexico/cache/awsTest1/rc/JV7ALS0p/uploads/292/propiedades/628503/6a7fa5c2d52ad.jpg; https://cdn.21online.lat/mexico/cache/awsTest1/rc/xS3Y7c1W/uploads/292/propiedades/628503/6a7fa5caa8f97.jpg; https://cdn.21online.lat/mexico/cache/awsTest1/rc/9TKPP6op/uploads/292/propiedades/628503/6a7fa5c56d44a.jpg; https://cdn.21online.lat/mexico/cache/awsTest1/rc/UTtJjMPb/uploads/292/propiedades/628503/6a7fa5c73ce3b.jpg; https://cdn.21online.lat/mexico/cache/awsTest1/rc/FiofF1yY/uploads/292/propiedades/628503/6a7fa5cc5dec7.jpg,México,Ciudad De México,Cuauhtémoc,19.449055411917726,-99.13857263065798,Sale
CENTURY 21 Tanaka & Asociados,https://www.century21mexico.com,Century 21 Mexico (native API),https://www.century21mexico.com/propiedad/627707_casa-en-venta-pradera-1-seccion-gustavo-a-madero-cdmx,"CASA EN VENTA, PRADERA 1 SECCIÓN, GUSTAVO A. MADERO, CDMX.",Casa,4550000,MXN,4,2,163,m2,,https://cdn.21online.lat/mexico/cache/awsTest1/rc/9ymeq9eI/uploads/304/propiedades/627707/6a73b8fb1a305.jpg; https://cdn.21online.lat/mexico/cache/awsTest1/rc/b07fCbmq/uploads/304/propiedades/627707/6a73b8fc02ad9.jpg; https://cdn.21online.lat/mexico/cache/awsTest1/rc/cHr1GuJC/uploads/304/propiedades/627707/6a73b8fcf2172.jpg; https://cdn.21online.lat/mexico/cache/awsTest1/rc/qHaZN5fy/uploads/304/propiedades/627707/6a73b9059d37a.jpg; https://cdn.21online.lat/mexico/cache/awsTest1/rc/qPOe7Q5I/uploads/304/propiedades/627707/6a73b913e0547.jpg; https://cdn.21online.lat/mexico/cache/awsTest1/rc/Oxp2T2Vi/uploads/304/propiedades/627707/6a73b8fdebe50.jpg; https://cdn.21online.lat/mexico/cache/awsTest1/rc/6Xc56fel/uploads/304/propiedades/627707/6a73b90ea80d3.jpg; https://cdn.21online.lat/mexico/cache/awsTest1/rc/EEiBTdTx/uploads/304/propiedades/627707/6a73b8ffcaf84.jpg,México,Ciudad De México,Gustavo A. Madero,19.4741093,-99.06566439999999,Sale
CENTURY 21 Gold Team,https://www.century21mexico.com,Century 21 Mexico (native API),https://www.century21mexico.com/propiedad/627502_casa-en-venta-en-avante-coyoacan-ciudad-de-mexico,"Casa en Venta en Avante, Coyoacán, Ciudad De México",Casa,6000000,MXN,4,2,167,m2,,https://cdn.21online.lat/mexico/cache/awsTest1/rc/6IUgy2pa/uploads/349/propiedades/627502/6a7e59fbbbdcc.jpg; https://cdn.21online.lat/mexico/cache/awsTest1/rc/f0awtHSs/uploads/349/propiedades/627502/6a7e5a4ab3871.jpg; https://cdn.21online.lat/mexico/cache/awsTest1/rc/AJvMK0yx/uploads/349/propiedades/627502/6a7e59f29a395.jpg; https://cdn.21online.lat/mexico/cache/awsTest1/rc/uoi5XUpe/uploads/349/propiedades/627502/6a7e59f9df661.jpg; https://cdn.21online.lat/mexico/cache/awsTest1/rc/hxaFWMuk/uploads/349/propiedades/627502/6a7e59f700f83.jpg; https://cdn.21online.lat/mexico/cache/awsTest1/rc/luidtLUq/uploads/349/propiedades/627502/6a7e59f620eec.jpg; https://cdn.21online.lat/mexico/cache/awsTest1/rc/BQZdYtj5/uploads/349/propiedades/627502/6a7e59fd8e002.jpg; https://cdn.21online.lat/mexico/cache/awsTest1/rc/nn79bZBO/uploads/349/propiedades/627502/6a7e59f373c5b.jpg,México,Ciudad De México,Coyoacán,19.33006694596307,-99.13246971369352,Sale
CENTURY 21 Gold Team,https://www.century21mexico.com,Century 21 Mexico (native API),https://www.century21mexico.com/propiedad/547908_casa-en-venta-en-tablas-de-san-agustin-gustavo-a-madero-ciudad-de-mexico,"Casa en Venta en Tablas De San Agustín, Gustavo A. Madero, Ciudad De México.",Casa,5425000,MXN,5,4,292,m2,,https://cdn.21online.lat/mexico/cache/awsTest1/rc/eZa6Wlx5/uploads/349/propiedades/547908/6a7e4752c2f55.jpg; https://cdn.21online.lat/mexico/cache/awsTest1/rc/sXuGgw39/uploads/349/propiedades/547908/6a7e474281d48.jpg; https://cdn.21online.lat/mexico/cache/awsTest1/rc/W1LlyuR5/uploads/349/propiedades/547908/6a7e473f9ed6d.jpg; https://cdn.21online.lat/mexico/cache/awsTest1/rc/jHrCKdmW/uploads/349/propiedades/547908/6a7e473cde6ee.jpg; https://cdn.21online.lat/mexico/cache/awsTest1/rc/7JtxeFjb/uploads/349/propiedades/547908/6a7e474f1150a.jpg; https://cdn.21online.lat/mexico/cache/awsTest1/rc/4pTh3Q4E/uploads/349/propiedades/547908/6a7e4759f283a.jpg; https://cdn.21online.lat/mexico/cache/awsTest1/rc/wlwzylQ9/uploads/349/propiedades/547908/6a7e473913151.jpg; https://cdn.21online.lat/mexico/cache/awsTest1/rc/B32EtxWT/uploads/349/propiedades/547908/6a7e475dd07eb.jpg,México,Ciudad De México,Gustavo A. Madero,19.46620374954871,-99.1133693401312,Sale
CENTURY 21 Herrera & Asociados,https://www.century21mexico.com,Century 21 Mexico (native API),https://www.century21mexico.com/propiedad/628740_departamento-tipo-estudio-en-paseo-de-la-reforma-ideal-para-vivir-o-invertir,DEPARTAMENTO TIPO ESTUDIO EN PASEO DE LA REFORMA | IDEAL PARA VIVIR O INVERTIR,Departamento,2190000,MXN,1,1,28.15,m2,,https://cdn.21online.lat/mexico/cache/awsTest1/rc/Q37Z7cu4/uploads/289/propiedades/628740/6a809c57916c4.jpg; https://cdn.21online.lat/mexico/cache/awsTest1/rc/5Z5aqsC9/uploads/289/propiedades/628740/6a809c6ca7216.jpg; https://cdn.21online.lat/mexico/cache/awsTest1/rc/gYcMecJJ/uploads/289/propiedades/628740/6a809c93afb41.jpg; https://cdn.21online.lat/mexico/cache/awsTest1/rc/UTqRDzy2/uploads/289/propiedades/628740/6a809ca1c1c49.jpg; https://cdn.21online.lat/mexico/cache/awsTest1/rc/AdDG0DvK/uploads/289/propiedades/628740/6a809cbe896cf.jpg; https://cdn.21online.lat/mexico/cache/awsTest1/rc/gLmMpdvS/uploads/289/propiedades/628740/6a809ccb4a766.jpg; https://cdn.21online.lat/mexico/cache/awsTest1/rc/7mGKgXcm/uploads/289/propiedades/628740/6a809ce28b5c7.jpg; https://cdn.21online.lat/mexico/cache/awsTest1/rc/Z7QHTm66/uploads/289/propiedades/628740/6a809ceeea4cc.jpg,México,Ciudad De México,Cuauhtémoc,19.4500505,-99.1326765,Sale
CENTURY 21 Grupo Mormos,https://www.century21mexico.com,Century 21 Mexico (native API),https://www.century21mexico.com/propiedad/627944_venta-de-bodega-en-colonia-25-de-julio-gustavo-a-madero-cdmx,"Venta de bodega en colonia 25 de Julio, Gustavo A. Madero, CDMX.",Bodega,7200000,MXN,1,1,421,m2,,https://cdn.21online.lat/mexico/cache/awsTest1/rc/66pFliJM/uploads/528/propiedades/627944/6a75e9dadaf11.jpg; https://cdn.21online.lat/mexico/cache/awsTest1/rc/tMKdzqSs/uploads/528/propiedades/627944/6a75e9d3cc643.jpg; https://cdn.21online.lat/mexico/cache/awsTest1/rc/QiZnwL3G/uploads/528/propiedades/627944/6a75e9d4b45f4.jpg; https://cdn.21online.lat/mexico/cache/awsTest1/rc/u6PKlR2a/uploads/528/propiedades/627944/6a75e9ce62120.jpg; https://cdn.21online.lat/mexico/cache/awsTest1/rc/K5BRsQlS/uploads/528/propiedades/627944/6a75e9d302810.jpg; https://cdn.21online.lat/mexico/cache/awsTest1/rc/45YyFbNH/uploads/528/propiedades/627944/6a75e9d04c8d5.jpg; https://cdn.21online.lat/mexico/cache/awsTest1/rc/9i87WLVW/uploads/528/propiedades/627944/6a75e9e087efb.jpg; https://cdn.21online.lat/mexico/cache/awsTest1/rc/rsA9w2vo/uploads/528/propiedades/627944/6a75e9dbbab17.jpg,México,Ciudad De México,Gustavo A. Madero,19.495368180269885,-99.08220417821923,Sale
CENTURY 21 House Hunters.,https://www.century21mexico.com,Century 21 Mexico (native API),https://www.century21mexico.com/propiedad/628252_casa-en-venta-en-fracc-bosque-residencial-del-sur,CASA EN VENTA EN FRACC. BOSQUE RESIDENCIAL DEL SUR,Casa,8200000,MXN,5,4,366,m2,,https://cdn.21online.lat/mexico/cache/awsTest1/rc/5s2BuPgC/uploads/608/propiedades/628252/6a7bdfc18340e.jpg; https://cdn.21online.lat/mexico/cache/awsTest1/rc/VPZivRSM/uploads/608/propiedades/628252/6a7bdf9dc8a52.jpg; https://cdn.21online.lat/mexico/cache/awsTest1/rc/hdfvHR9d/uploads/608/propiedades/628252/6a7bdf9fd268d.jpg; https://cdn.21online.lat/mexico/cache/awsTest1/rc/VifAjm5I/uploads/608/propiedades/628252/6a7bdfa2daf09.jpg; https://cdn.21online.lat/mexico/cache/awsTest1/rc/E59Au2rV/uploads/608/propiedades/628252/6a7bdfa1eedfd.jpg; https://cdn.21online.lat/mexico/cache/awsTest1/rc/WFTXgmoV/uploads/608/propiedades/628252/6a7bdfa4b49c8.jpg; https://cdn.21online.lat/mexico/cache/awsTest1/rc/cCOGrCz7/uploads/608/propiedades/628252/6a7bdfa0d3c39.jpg; https://cdn.21online.lat/mexico/cache/awsTest1/rc/DrviI5ta/uploads/608/propiedades/628252/6a7bdf9cdf522.jpg,México,Ciudad De México,Xochimilco,19.280781683482303,-99.12944829259033,Sale
CENTURY 21 Gold Team,https://www.century21mexico.com,Century 21 Mexico (native API),https://www.century21mexico.com/propiedad/624707_casa-en-venta-en-san-juan-de-aragon-gustavo-a-madero-ciudad-de-mexico,"Casa en Venta en San Juan de Aragón, Gustavo A. Madero, Ciudad De México",Casa,7525000,MXN,5,3,305,m2,,https://cdn.21online.lat/mexico/cache/awsTest1/rc/ZPQooEOI/uploads/349/propiedades/624707/6a7cfdbdbfb44.jpg; https://cdn.21online.lat/mexico/cache/awsTest1/rc/VeLNENZH/uploads/349/propiedades/624707/thumb506a7cec077be3b.jpg; https://cdn.21online.lat/mexico/cache/awsTest1/rc/qXrSxriv/uploads/349/propiedades/624707/thumb236a7cec060f058.jpg; https://cdn.21online.lat/mexico/cache/awsTest1/rc/AdCfzAuO/uploads/349/propiedades/624707/thumb946a7cec0527401.jpg; https://cdn.21online.lat/mexico/cache/awsTest1/rc/LdM0odBO/uploads/349/propiedades/624707/thumb346a7cec03d2cc3.jpg; https://cdn.21online.lat/mexico/cache/awsTest1/rc/HrnPepoS/uploads/349/propiedades/624707/6a7cebd7d6185.jpg; https://cdn.21online.lat/mexico/cache/awsTest1/rc/I9HNShUn/uploads/349/propiedades/624707/6a7cebe240ac6.jpg; https://cdn.21online.lat/mexico/cache/awsTest1/rc/tEyLQeFt/uploads/349/propiedades/624707/6a7cebdecdaac.jpg,México,Ciudad De México,Gustavo A. Madero,19.4569259,-99.08840769999999,Sale
CENTURY 21 Edén,https://www.century21mexico.com,Century 21 Mexico (native API),https://www.century21mexico.com/propiedad/628260_se-vende-edificio-en-tlahuac,SE VENDE EDIFICIO EN TLAHUAC,Escuela,4200000,MXN,,,106,m2,,https://cdn.21online.lat/mexico/cache/awsTest1/rc/oQyjKGM9/uploads/290/propiedades/628260/6a7a6d1245ff4.jpg; https://cdn.21online.lat/mexico/cache/awsTest1/rc/swwTFU7q/uploads/290/propiedades/628260/6a7a6d306e091.jpg; https://cdn.21online.lat/mexico/cache/awsTest1/rc/6zw6cbnp/uploads/290/propiedades/628260/6a7a6d23cd086.jpg; https://cdn.21online.lat/mexico/cache/awsTest1/rc/DJ9YvHSg/uploads/290/propiedades/628260/6a7a6d0fdb409.jpg; https://cdn.21online.lat/mexico/cache/awsTest1/rc/taFxZC1G/uploads/290/propiedades/628260/6a7a6d3994939.jpg; https://cdn.21online.lat/mexico/cache/awsTest1/rc/YGjxTard/uploads/290/propiedades/628260/6a7a6d133a30f.jpg; https://cdn.21online.lat/mexico/cache/awsTest1/rc/NeP1BylH/uploads/290/propiedades/628260/6a7a6d0954e50.jpg; https://cdn.21online.lat/mexico/cache/awsTest1/rc/qocDCFaF/uploads/290/propiedades/628260/6a7a6d111ac44.jpg,México,Ciudad De México,Tláhuac,19.290453214376733,-99.05274245866124,Sale
